project_name,commitOneSha,commitTwoSha,tool,behavior_change,failed_test_cases,local_test_suite,class_under-analysis,method_under_analysis
commons-lang,afe5dff79fc23d222ba1f1481fbbf55e09d2e6da,0afcd15e183205a85a45a2775f1fb75a162a1389,differential-evosuite,NONE,set(),NO-INFORMATION,org.apache.commons.lang3.time.FastDateParser,escapeRegex(StringBuilder| String| boolean)StringBuilder
commons-lang,afe5dff79fc23d222ba1f1481fbbf55e09d2e6da,0afcd15e183205a85a45a2775f1fb75a162a1389,evosuite,NONE,set(),NO-INFORMATION,org.apache.commons.lang3.time.FastDateParser,escapeRegex(StringBuilder| String| boolean)StringBuilder
commons-lang,afe5dff79fc23d222ba1f1481fbbf55e09d2e6da,0afcd15e183205a85a45a2775f1fb75a162a1389,randoop,NONE,set(),NO-INFORMATION,org.apache.commons.lang3.time.FastDateParser,escapeRegex(StringBuilder| String| boolean)StringBuilder
commons-lang,2aa9dca994b006ccbfcb528de5ff0da6a5578411,aefe0749b2f2e63f9d13393694e7d20173bc032a,differential-evosuite,NONE,set(),NO-INFORMATION,org.apache.commons.lang3.time.FastDateFormat,parsePattern()List
commons-lang,2aa9dca994b006ccbfcb528de5ff0da6a5578411,aefe0749b2f2e63f9d13393694e7d20173bc032a,evosuite,NONE,set(),NO-INFORMATION,org.apache.commons.lang3.time.FastDateFormat,parsePattern()List
commons-lang,2aa9dca994b006ccbfcb528de5ff0da6a5578411,aefe0749b2f2e63f9d13393694e7d20173bc032a,randoop,NONE,set(),NO-INFORMATION,org.apache.commons.lang3.time.FastDateFormat,parsePattern()List
commons-lang,687b2e62b7c6e81cd9d5c872b7fa9cc8fd3f1509,2c454a4ce3fe771098746879b166ede2284b94f4,differential-evosuite,NONE,set(),NO-INFORMATION,org.apache.commons.lang3.math.NumberUtils,createNumber(String)Number
commons-lang,687b2e62b7c6e81cd9d5c872b7fa9cc8fd3f1509,2c454a4ce3fe771098746879b166ede2284b94f4,evosuite,NONE,set(),NO-INFORMATION,org.apache.commons.lang3.math.NumberUtils,createNumber(String)Number
commons-lang,687b2e62b7c6e81cd9d5c872b7fa9cc8fd3f1509,2c454a4ce3fe771098746879b166ede2284b94f4,randoop,NONE,set(),NO-INFORMATION,org.apache.commons.lang3.math.NumberUtils,createNumber(String)Number
commons-lang,2c9c8753165dc7ce5dd1d5a6d741b445b33302c2,1f001d06a2bde5ee4e3204ab38c4b1db8e95db0b,differential-evosuite,NONE,set(),NO-INFORMATION,org.apache.commons.lang3.math.NumberUtils,createNumber(String)Number
commons-lang,2c9c8753165dc7ce5dd1d5a6d741b445b33302c2,1f001d06a2bde5ee4e3204ab38c4b1db8e95db0b,evosuite,NONE,set(),NO-INFORMATION,org.apache.commons.lang3.math.NumberUtils,createNumber(String)Number
commons-lang,2c9c8753165dc7ce5dd1d5a6d741b445b33302c2,1f001d06a2bde5ee4e3204ab38c4b1db8e95db0b,randoop,NONE,set(),NO-INFORMATION,org.apache.commons.lang3.math.NumberUtils,createNumber(String)Number
commons-lang,fb47b96ab635d7cc6e9edefdddc46f1baf63b117,4ddbd99c5805781bd3c2287ab7920fecc23dab53,differential-evosuite,NONE,set(),NO-INFORMATION,org.apache.commons.lang3.text.translate.LookupTranslator,translate(CharSequence| int| Writer)int
commons-lang,fb47b96ab635d7cc6e9edefdddc46f1baf63b117,4ddbd99c5805781bd3c2287ab7920fecc23dab53,evosuite,NONE,set(),NO-INFORMATION,org.apache.commons.lang3.text.translate.LookupTranslator,translate(CharSequence| int| Writer)int
commons-lang,fb47b96ab635d7cc6e9edefdddc46f1baf63b117,4ddbd99c5805781bd3c2287ab7920fecc23dab53,randoop,NONE,set(),NO-INFORMATION,org.apache.commons.lang3.text.translate.LookupTranslator,translate(CharSequence| int| Writer)int
commons-lang,fb47b96ab635d7cc6e9edefdddc46f1baf63b117,4ddbd99c5805781bd3c2287ab7920fecc23dab53,differential-evosuite,NONE,set(),NO-INFORMATION,org.apache.commons.lang3.text.translate.LookupTranslator,LookupTranslator(CharSequence[])
commons-lang,fb47b96ab635d7cc6e9edefdddc46f1baf63b117,4ddbd99c5805781bd3c2287ab7920fecc23dab53,evosuite,NONE,set(),NO-INFORMATION,org.apache.commons.lang3.text.translate.LookupTranslator,LookupTranslator(CharSequence[])
commons-lang,fb47b96ab635d7cc6e9edefdddc46f1baf63b117,4ddbd99c5805781bd3c2287ab7920fecc23dab53,randoop,NONE,set(),NO-INFORMATION,org.apache.commons.lang3.text.translate.LookupTranslator,LookupTranslator(CharSequence[])
commons-lang,75944e541d358d5b06ebbba3098a919fbf2539d4,379151bad9c5402c335db67f9494351b99298732,differential-evosuite,NONE,set(),NO-INFORMATION,org.apache.commons.lang3.LocaleUtils,toLocale(String)Locale
commons-lang,75944e541d358d5b06ebbba3098a919fbf2539d4,379151bad9c5402c335db67f9494351b99298732,evosuite,NONE,set(),NO-INFORMATION,org.apache.commons.lang3.LocaleUtils,toLocale(String)Locale
commons-lang,75944e541d358d5b06ebbba3098a919fbf2539d4,379151bad9c5402c335db67f9494351b99298732,randoop,NONE,set(),NO-INFORMATION,org.apache.commons.lang3.LocaleUtils,toLocale(String)Locale
commons-lang,cff0f1ae37bb2b7ab2dcdb10dec1f3cad7532e1c,6823c3742ee16f5b28e550a6afb685553befc0c2,differential-evosuite,NONE,set(),NO-INFORMATION,org.apache.commons.lang3.text.translate.CharSequenceTranslator,translate(CharSequence| Writer)void
commons-lang,cff0f1ae37bb2b7ab2dcdb10dec1f3cad7532e1c,6823c3742ee16f5b28e550a6afb685553befc0c2,evosuite,NONE,set(),NO-INFORMATION,org.apache.commons.lang3.text.translate.CharSequenceTranslator,translate(CharSequence| Writer)void
commons-lang,cff0f1ae37bb2b7ab2dcdb10dec1f3cad7532e1c,6823c3742ee16f5b28e550a6afb685553befc0c2,randoop,NONE,set(),NO-INFORMATION,org.apache.commons.lang3.text.translate.CharSequenceTranslator,translate(CharSequence| Writer)void
commons-lang,e71f6dd3f2f70c640ae73d28b432b3a69ffcab4b,f0c7e60bbaf975b64ab5bf1b75ba6b7dbc256300,differential-evosuite,NONE,set(),NO-INFORMATION,org.apache.commons.lang3.math.NumberUtils,createBigDecimal(String)BigDecimal
commons-lang,e71f6dd3f2f70c640ae73d28b432b3a69ffcab4b,f0c7e60bbaf975b64ab5bf1b75ba6b7dbc256300,evosuite,NONE,set(),NO-INFORMATION,org.apache.commons.lang3.math.NumberUtils,createBigDecimal(String)BigDecimal
commons-lang,e71f6dd3f2f70c640ae73d28b432b3a69ffcab4b,f0c7e60bbaf975b64ab5bf1b75ba6b7dbc256300,randoop,NONE,set(),NO-INFORMATION,org.apache.commons.lang3.math.NumberUtils,createBigDecimal(String)BigDecimal
commons-lang,e71f6dd3f2f70c640ae73d28b432b3a69ffcab4b,f0c7e60bbaf975b64ab5bf1b75ba6b7dbc256300,differential-evosuite,NONE,set(),NO-INFORMATION,org.apache.commons.lang3.math.NumberUtils,createNumber(String)Number
commons-lang,e71f6dd3f2f70c640ae73d28b432b3a69ffcab4b,f0c7e60bbaf975b64ab5bf1b75ba6b7dbc256300,evosuite,NONE,set(),NO-INFORMATION,org.apache.commons.lang3.math.NumberUtils,createNumber(String)Number
commons-lang,e71f6dd3f2f70c640ae73d28b432b3a69ffcab4b,f0c7e60bbaf975b64ab5bf1b75ba6b7dbc256300,randoop,NONE,set(),NO-INFORMATION,org.apache.commons.lang3.math.NumberUtils,createNumber(String)Number
commons-lang,a4a455053e7e4a77320efd6db0814f4de82d754d,8d192d7063cc747a3c6226122ea83c7348e199e7,differential-evosuite,NONE,set(),NO-INFORMATION,org.apache.commons.lang3.time.FastDatePrinter,appendTo(StringBuffer| Calendar)void
commons-lang,a4a455053e7e4a77320efd6db0814f4de82d754d,8d192d7063cc747a3c6226122ea83c7348e199e7,evosuite,NONE,set(),NO-INFORMATION,org.apache.commons.lang3.time.FastDatePrinter,appendTo(StringBuffer| Calendar)void
commons-lang,a4a455053e7e4a77320efd6db0814f4de82d754d,8d192d7063cc747a3c6226122ea83c7348e199e7,randoop,NONE,set(),NO-INFORMATION,org.apache.commons.lang3.time.FastDatePrinter,appendTo(StringBuffer| Calendar)void
commons-lang,a4a455053e7e4a77320efd6db0814f4de82d754d,8d192d7063cc747a3c6226122ea83c7348e199e7,differential-evosuite,NONE,set(),NO-INFORMATION,org.apache.commons.lang3.time.FastDatePrinter,TimeZoneNameRule(TimeZone| Locale| int)
commons-lang,a4a455053e7e4a77320efd6db0814f4de82d754d,8d192d7063cc747a3c6226122ea83c7348e199e7,evosuite,NONE,set(),NO-INFORMATION,org.apache.commons.lang3.time.FastDatePrinter,TimeZoneNameRule(TimeZone| Locale| int)
commons-lang,a4a455053e7e4a77320efd6db0814f4de82d754d,8d192d7063cc747a3c6226122ea83c7348e199e7,randoop,NONE,set(),NO-INFORMATION,org.apache.commons.lang3.time.FastDatePrinter,TimeZoneNameRule(TimeZone| Locale| int)
commons-lang,c45d5bff75edfef6387d40e681f9dc7c9b517bbb,afe5dff79fc23d222ba1f1481fbbf55e09d2e6da,differential-evosuite,NONE,set(),NO-INFORMATION,org.apache.commons.lang3.time.FastDateParser,init()void
commons-lang,c45d5bff75edfef6387d40e681f9dc7c9b517bbb,afe5dff79fc23d222ba1f1481fbbf55e09d2e6da,evosuite,NONE,set(),NO-INFORMATION,org.apache.commons.lang3.time.FastDateParser,init()void
commons-lang,c45d5bff75edfef6387d40e681f9dc7c9b517bbb,afe5dff79fc23d222ba1f1481fbbf55e09d2e6da,randoop,NONE,set(),NO-INFORMATION,org.apache.commons.lang3.time.FastDateParser,init()void
commons-lang,afe5dff79fc23d222ba1f1481fbbf55e09d2e6da,0afcd15e183205a85a45a2775f1fb75a162a1389,differential-evosuite,NONE,set(),NO-INFORMATION,org.apache.commons.lang3.time.FastDateParser,escapeRegex(StringBuilder| String| boolean)StringBuilder
commons-lang,afe5dff79fc23d222ba1f1481fbbf55e09d2e6da,0afcd15e183205a85a45a2775f1fb75a162a1389,evosuite,NONE,set(),NO-INFORMATION,org.apache.commons.lang3.time.FastDateParser,escapeRegex(StringBuilder| String| boolean)StringBuilder
commons-lang,afe5dff79fc23d222ba1f1481fbbf55e09d2e6da,0afcd15e183205a85a45a2775f1fb75a162a1389,randoop,NONE,set(),NO-INFORMATION,org.apache.commons.lang3.time.FastDateParser,escapeRegex(StringBuilder| String| boolean)StringBuilder
commons-lang,c821fafce06adefc040e8983fb12d49399a48627,c9d786a4fe2639581047d878a64bab6fb24f1ab3,differential-evosuite,NONE,set(),NO-INFORMATION,org.apache.commons.lang3.RandomStringUtils,random(int| int| int| boolean| boolean| char[]| Random)String
commons-lang,c821fafce06adefc040e8983fb12d49399a48627,c9d786a4fe2639581047d878a64bab6fb24f1ab3,evosuite,NONE,set(),NO-INFORMATION,org.apache.commons.lang3.RandomStringUtils,random(int| int| int| boolean| boolean| char[]| Random)String
commons-lang,c821fafce06adefc040e8983fb12d49399a48627,c9d786a4fe2639581047d878a64bab6fb24f1ab3,randoop,NONE,set(),NO-INFORMATION,org.apache.commons.lang3.RandomStringUtils,random(int| int| int| boolean| boolean| char[]| Random)String
commons-lang,687b2e62b7c6e81cd9d5c872b7fa9cc8fd3f1509,2c454a4ce3fe771098746879b166ede2284b94f4,differential-evosuite,NONE,set(),NO-INFORMATION,org.apache.commons.lang3.math.NumberUtils,createNumber(String)Number
commons-lang,687b2e62b7c6e81cd9d5c872b7fa9cc8fd3f1509,2c454a4ce3fe771098746879b166ede2284b94f4,evosuite,NONE,set(),NO-INFORMATION,org.apache.commons.lang3.math.NumberUtils,createNumber(String)Number
commons-lang,687b2e62b7c6e81cd9d5c872b7fa9cc8fd3f1509,2c454a4ce3fe771098746879b166ede2284b94f4,randoop,NONE,set(),NO-INFORMATION,org.apache.commons.lang3.math.NumberUtils,createNumber(String)Number
commons-lang,2c9c8753165dc7ce5dd1d5a6d741b445b33302c2,1f001d06a2bde5ee4e3204ab38c4b1db8e95db0b,differential-evosuite,NONE,set(),NO-INFORMATION,org.apache.commons.lang3.math.NumberUtils,createNumber(String)Number
commons-lang,2c9c8753165dc7ce5dd1d5a6d741b445b33302c2,1f001d06a2bde5ee4e3204ab38c4b1db8e95db0b,evosuite,NONE,set(),NO-INFORMATION,org.apache.commons.lang3.math.NumberUtils,createNumber(String)Number
commons-lang,2c9c8753165dc7ce5dd1d5a6d741b445b33302c2,1f001d06a2bde5ee4e3204ab38c4b1db8e95db0b,randoop,NONE,set(),NO-INFORMATION,org.apache.commons.lang3.math.NumberUtils,createNumber(String)Number
commons-lang,fb47b96ab635d7cc6e9edefdddc46f1baf63b117,4ddbd99c5805781bd3c2287ab7920fecc23dab53,differential-evosuite,NONE,set(),NO-INFORMATION,org.apache.commons.lang3.text.translate.LookupTranslator,translate(CharSequence| int| Writer)int
commons-lang,fb47b96ab635d7cc6e9edefdddc46f1baf63b117,4ddbd99c5805781bd3c2287ab7920fecc23dab53,evosuite,NONE,set(),NO-INFORMATION,org.apache.commons.lang3.text.translate.LookupTranslator,translate(CharSequence| int| Writer)int
commons-lang,fb47b96ab635d7cc6e9edefdddc46f1baf63b117,4ddbd99c5805781bd3c2287ab7920fecc23dab53,randoop,NONE,set(),NO-INFORMATION,org.apache.commons.lang3.text.translate.LookupTranslator,translate(CharSequence| int| Writer)int
commons-lang,fb47b96ab635d7cc6e9edefdddc46f1baf63b117,4ddbd99c5805781bd3c2287ab7920fecc23dab53,differential-evosuite,NONE,set(),NO-INFORMATION,org.apache.commons.lang3.text.translate.LookupTranslator,LookupTranslator(CharSequence[])
commons-lang,fb47b96ab635d7cc6e9edefdddc46f1baf63b117,4ddbd99c5805781bd3c2287ab7920fecc23dab53,evosuite,NONE,set(),NO-INFORMATION,org.apache.commons.lang3.text.translate.LookupTranslator,LookupTranslator(CharSequence[])
commons-lang,fb47b96ab635d7cc6e9edefdddc46f1baf63b117,4ddbd99c5805781bd3c2287ab7920fecc23dab53,randoop,NONE,set(),NO-INFORMATION,org.apache.commons.lang3.text.translate.LookupTranslator,LookupTranslator(CharSequence[])
commons-lang,75944e541d358d5b06ebbba3098a919fbf2539d4,379151bad9c5402c335db67f9494351b99298732,differential-evosuite,NONE,set(),NO-INFORMATION,org.apache.commons.lang3.LocaleUtils,toLocale(String)Locale
commons-lang,75944e541d358d5b06ebbba3098a919fbf2539d4,379151bad9c5402c335db67f9494351b99298732,evosuite,NONE,set(),NO-INFORMATION,org.apache.commons.lang3.LocaleUtils,toLocale(String)Locale
commons-lang,75944e541d358d5b06ebbba3098a919fbf2539d4,379151bad9c5402c335db67f9494351b99298732,randoop,NONE,set(),NO-INFORMATION,org.apache.commons.lang3.LocaleUtils,toLocale(String)Locale
commons-lang,cff0f1ae37bb2b7ab2dcdb10dec1f3cad7532e1c,6823c3742ee16f5b28e550a6afb685553befc0c2,differential-evosuite,NONE,set(),NO-INFORMATION,org.apache.commons.lang3.text.translate.CharSequenceTranslator,translate(CharSequence| Writer)void
commons-lang,cff0f1ae37bb2b7ab2dcdb10dec1f3cad7532e1c,6823c3742ee16f5b28e550a6afb685553befc0c2,evosuite,NONE,set(),NO-INFORMATION,org.apache.commons.lang3.text.translate.CharSequenceTranslator,translate(CharSequence| Writer)void
commons-lang,cff0f1ae37bb2b7ab2dcdb10dec1f3cad7532e1c,6823c3742ee16f5b28e550a6afb685553befc0c2,randoop,NONE,set(),NO-INFORMATION,org.apache.commons.lang3.text.translate.CharSequenceTranslator,translate(CharSequence| Writer)void
commons-lang,e71f6dd3f2f70c640ae73d28b432b3a69ffcab4b,f0c7e60bbaf975b64ab5bf1b75ba6b7dbc256300,differential-evosuite,NONE,set(),NO-INFORMATION,org.apache.commons.lang3.math.NumberUtils,createBigDecimal(String)BigDecimal
commons-lang,e71f6dd3f2f70c640ae73d28b432b3a69ffcab4b,f0c7e60bbaf975b64ab5bf1b75ba6b7dbc256300,evosuite,NONE,set(),NO-INFORMATION,org.apache.commons.lang3.math.NumberUtils,createBigDecimal(String)BigDecimal
commons-lang,e71f6dd3f2f70c640ae73d28b432b3a69ffcab4b,f0c7e60bbaf975b64ab5bf1b75ba6b7dbc256300,randoop,NONE,set(),NO-INFORMATION,org.apache.commons.lang3.math.NumberUtils,createBigDecimal(String)BigDecimal
commons-lang,e71f6dd3f2f70c640ae73d28b432b3a69ffcab4b,f0c7e60bbaf975b64ab5bf1b75ba6b7dbc256300,differential-evosuite,NONE,set(),NO-INFORMATION,org.apache.commons.lang3.math.NumberUtils,createNumber(String)Number
commons-lang,e71f6dd3f2f70c640ae73d28b432b3a69ffcab4b,f0c7e60bbaf975b64ab5bf1b75ba6b7dbc256300,evosuite,NONE,set(),NO-INFORMATION,org.apache.commons.lang3.math.NumberUtils,createNumber(String)Number
commons-lang,e71f6dd3f2f70c640ae73d28b432b3a69ffcab4b,f0c7e60bbaf975b64ab5bf1b75ba6b7dbc256300,randoop,NONE,set(),NO-INFORMATION,org.apache.commons.lang3.math.NumberUtils,createNumber(String)Number
commons-lang,a4a455053e7e4a77320efd6db0814f4de82d754d,8d192d7063cc747a3c6226122ea83c7348e199e7,differential-evosuite,NONE,set(),NO-INFORMATION,org.apache.commons.lang3.time.FastDatePrinter,TimeZoneNameRule(TimeZone| Locale| int)
commons-lang,a4a455053e7e4a77320efd6db0814f4de82d754d,8d192d7063cc747a3c6226122ea83c7348e199e7,evosuite,NONE,set(),NO-INFORMATION,org.apache.commons.lang3.time.FastDatePrinter,TimeZoneNameRule(TimeZone| Locale| int)
commons-lang,a4a455053e7e4a77320efd6db0814f4de82d754d,8d192d7063cc747a3c6226122ea83c7348e199e7,randoop,NONE,set(),NO-INFORMATION,org.apache.commons.lang3.time.FastDatePrinter,TimeZoneNameRule(TimeZone| Locale| int)
